Economy,Year,Subgroup,Top Subgroup Level,Subgroup Level,Average/SE/N,Bribery incidence (percent of firms experiencing at least one bribe payment request),Bribery depth (% of public transactions where a gift or informal payment was requested),Percent of firms expected to give gifts in meetings with tax officials,Percent of firms expected to give gifts to secure government contract,Percent of firms expected to give gifts to get an operating license,Percent of firms expected to give gifts to get an import license,Percent of firms expected to give gifts to get a construction permit,Percent of firms expected to give gifts to get an electrical connection,Percent of firms expected to give gifts to get a water connection,"Percent of firms expected to give gifts to public officials ""to get things done""",Percent of firms identifying corruption as a major or very severe constraint,Real annual sales growth (%),Annual employment growth (%),Real annual labor productivity growth (%),Percent of firms buying fixed assets,Capacity utilization (%)*,Age of the establishment (years),Percent of firms with at least 10% of foreign ownership,Percent of firms with at least 10% of government/state ownership,Proportion of private domestic ownership in a firm (%),Percent of firms with legal status of Sole Proprietorship,Senior management time spent dealing with the requirements of government regulation (%),Days to obtain an operating license,[B-READY] Days to obtain a construction-related permit [median],Days to obtain an import license,[B-READY] Days to receive payment under government contract,[B-READY] Percent of firms visited or inspected for health or safety,[B-READY] Percent of firms with a report issued for health or safety inspection,Percent of firms identifying business licensing and permits as a major or very severe constraint,Percent of firms identifying access to land as a major or very severe constraint,[B-READY] Perceptions index of access to land as a constraint,[B-READY] Percent of firms offering formal training over last fiscal year,Proportion of workers offered formal training over last fiscal year (%)*,Years of the top manager's experience working in the firm's sector,Percent of firms where the largest owner is also the top manager,Number of permanent full-time equivalent workers,"Proportion of permanent workers, out of all permanent full-time equivalent workers","Proportion of production workers, out of all permanent workers*","Proportion of skilled workers, out of all permanent production workers (%)*",Proportion of permanent full time workers that completed high school,[B-READY] Weeks to dismiss a full-time permanent worker,[B-READY] Weeks paid in severance,[B-READY] Percent of firms involved in labor dispute over last 3 years,[B-READY] Months to resolve labor dispute,Percent of firms identifying labor regulations as a major or very severe constraint,[B-READY] Perceptions index of labor regulations as a constraint,Percent of firms identifying an inadequately educated workforce as a major or very severe constraint,Management practices index,Score on action when a problem arose,Score on number of performance indicators monitored,Score on time focus of production/service provision targets,Score on achievability of production/service provision targets,Score on knowledge of production/service provision targets,Score on basis of managers' performance bonuses,Score on extent to which non-managers are promoted based on performance,Score on extent to which under-performing non-managers are reassigned or dismissed,Percent of firms competing against unregistered or informal firms,Percent of firms formally registered when they started operations,Number of years firm operated without formal registration,Percent of firms identifying practices of competitors in the informal sector as a major or very severe constraint
Russian Federation,2012,Sector,Manufacturing,Wood Products & Furniture,Average,12.7,10.3,6,64.7,6.9,NA,32.4,37.2,0,17.9,36.6,6,4.3,5,46.5,70.8,10.8,1.9,0,98.3,4.4,17.1,25.5,150,NA,NA,NA,NA,9.6,29.2,70,36.2,51.6,12.4,NA,57.2,96.7,69.5,73.8,NA,NA,NA,NA,NA,12.8,79,42.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.1,98.7,0.3,31.5
Russian Federation,2012,Sector,Services,All,Average,14,9.3,7.2,31.5,12.1,36.4,25.7,27.2,11.3,19.4,33.2,9.8,6.7,4.6,36.7,NA,10.2,6,0.4,94.5,1,14.7,55.7,30,48,NA,NA,NA,16.2,18.1,78.4,47.3,NA,14.4,NA,47.9,94.7,NA,NA,NA,NA,NA,NA,NA,5.8,87.1,24.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.9,98.4,0.2,13.5
Russian Federation,2012,Sector,Services,Construction,Average,13.7,8.7,5.5,38.8,5.7,NA,22.7,44.5,27.2,21,44.8,21.9,7.2,20.4,51,NA,9.8,18.4,0.3,81.7,0,15.4,39.8,14,NA,NA,NA,NA,17,19.6,75.3,70.1,NA,16.9,NA,93.7,77.5,NA,NA,NA,NA,NA,NA,NA,4.4,89.8,16.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.2,98.8,0.3,12.2
Russian Federation,2012,Sector,Services,Hotels & Restaurants,Average,10.8,9.5,5.3,29.7,7.3,NA,28.7,18.4,10.7,19,21.5,2.1,0.5,0,26.7,NA,9.9,4.9,1.3,96.9,3,12.9,42.8,180,NA,NA,NA,NA,27.8,22.8,74.6,51.3,NA,12.8,NA,33.9,98.6,NA,NA,NA,NA,NA,NA,NA,14.2,82.5,29.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.1,97.6,0.2,15.2
Russian Federation,2012,Sector,Services,IT & IT Services,Average,9.7,7.2,1.2,16,0,NA,48.7,83.8,NA,12,22.4,18.4,6.8,14.1,69.8,NA,9.6,0,0,100,0.2,13.9,259.5,120,NA,NA,NA,NA,31.6,2.2,96.2,64.3,NA,17.9,NA,50.6,98.2,NA,NA,NA,NA,NA,NA,NA,3.4,90.4,32.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.8,98.4,0.2,9.9
Russian Federation,2012,Sector,Services,Other Services,Average,16.2,9.1,2.7,13.8,24.2,NA,29.1,8,0,17.4,32.4,2.8,2.4,0.8,42.8,NA,11.3,5.6,0.7,95.5,0.1,11.9,62.9,90,NA,NA,NA,NA,15.4,14.2,82.2,42.4,NA,14.3,NA,45.4,98.9,NA,NA,NA,NA,NA,NA,NA,12.5,80.3,33.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,98.1,0.1,11.9
Russian Federation,2012,Sector,Services,Retail,Average,11.5,8.2,5.7,21.8,11.1,NA,14.7,26.1,8.8,17.4,20.7,0.4,4.4,-2.7,25.3,NA,12.1,0.4,1.1,99.4,3.9,14.6,43.1,365,NA,NA,NA,NA,23,23.9,73.6,39.1,NA,16.3,NA,29,99.1,NA,NA,NA,NA,NA,NA,NA,5.8,85.4,22.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.3,96.5,0.5,15.7
Russian Federation,2012,Sector,Services,"Transport, Storage, & Communications",Average,7.2,5.8,0,46.1,3.2,NA,37.7,38.1,NA,24.9,33.2,-3,2.2,-4.4,34,NA,9.3,0.9,1.7,96.4,3.1,15.9,66.2,NA,NA,NA,NA,NA,9.7,24.5,71.4,51.1,NA,13.1,NA,28,98.7,NA,NA,NA,NA,NA,NA,NA,3,91.4,21.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.3,99.2,0.5,19
Russian Federation,2012,Sector,Services,Wholesale,Average,15.4,10.6,10.3,34.5,24.2,37.3,32.4,26.3,3,20.7,34.7,9.7,9.2,0.9,31,NA,9.6,3.6,0.1,97.2,0.5,15.3,56.2,30,50.6,NA,NA,NA,11.4,17.1,79.5,40,NA,12.7,NA,37.5,98.5,NA,NA,NA,NA,NA,NA,NA,4.2,88.2,24.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.8,99,0.2,13.6
Russian Federation,2012,Size,NA,Large (100+),Average,15.6,9.9,15.2,27.7,6.2,7.7,33.8,15.6,17.4,18.3,42,28.5,5.3,23.3,69.1,77.3,13.2,27.6,0.9,73.4,0.1,15,71.9,50,49.2,NA,NA,NA,20.1,14.5,76.6,75.7,32.6,17.9,NA,308.9,80.5,74.9,75.6,NA,NA,NA,NA,NA,3.7,86.5,22.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.2,98,0.7,11
Russian Federation,2012,Size,NA,Medium (20-99),Average,20.6,13.4,8,36,20.9,47.1,29.4,30.4,11.1,27,33,3.2,5.5,-1.1,46.3,72.5,11.9,3.3,0.7,97,1.1,15.2,56.6,40,54.6,NA,NA,NA,17.8,22.8,74.7,53,43,15.1,NA,39.6,97,70.4,72.9,NA,NA,NA,NA,NA,6.7,83.5,30.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.4,97.7,0.5,13.3
Russian Federation,2012,Size,NA,Small (5-19),Average,8.6,6.7,4.1,26.4,8,8.9,20.6,26.1,11.4,17,30.8,4.7,6.1,0.5,25.3,67.1,9.3,2.1,0.3,98.4,1.1,14.3,46.2,14,27.6,NA,NA,NA,12.9,16.1,81.3,34.4,50.9,13.5,NA,9.2,97.7,65.9,81.5,NA,NA,NA,NA,NA,6.1,88.1,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.9,98.7,0.1,15.6
Russian Federation,2012,NA,NA,NA,Average,14.2,9.7,7.3,30.9,12.6,27.5,26.8,25.7,12.7,20.5,33.1,7.7,5.8,3.3,38.1,71.5,10.7,5.9,0.5,94.6,1,14.7,56.3,30,47.1,NA,NA,NA,15.6,18.2,78.4,46.2,43,14.6,NA,59.8,95.2,69.4,76.5,NA,NA,NA,NA,NA,6,86.4,25.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.2,98.3,0.3,14.1
Russian Federation,2019,Exporter Type,NA,Direct exports are 10% or more of sales,Average,0.8,0.6,1,1.1,0,0,NA,6,NA,5.2,6.1,2.9,1.8,1.6,55.3,83,13.9,5,8.5,95.6,0.3,8,15.8,NA,12.7,NA,NA,NA,5.4,4.9,78.3,19.2,17.2,16.5,NA,650.3,97,68.6,98.1,84.8,NA,NA,NA,NA,30.4,64.9,46.8,54.3,86.2,25.7,38.5,37.1,37.4,36.7,91.4,85.5,11.1,97.4,0.1,4.4
Russian Federation,2019,Exporter Type,NA,Non-exporter,Average,28.3,20.9,34.1,13.2,11.1,0,35.9,12.5,1.9,17,13.6,-1.6,3.3,-4.7,24.2,78.8,11.4,1.1,0.1,99.1,0,5.5,22.8,12,10.9,NA,NA,NA,6.4,7.2,83,11.6,24.3,13.6,NA,24.5,95.9,74.5,87.1,85.6,NA,NA,NA,NA,3.8,79.6,16.9,52.3,69.4,43.5,49.4,45.7,20.7,58.3,77.5,58.8,28.8,91.3,0.3,9.9
Russian Federation,2019,Gender of Top Manager,NA,Top manager is female,Average,27.4,23.2,28.9,7,19.6,NA,NA,0.4,50.7,13.8,16,-0.7,5.5,-6.3,10.4,78.2,9.5,3.3,0,97.3,0,4.8,13.8,NA,NA,NA,NA,NA,1.7,0.8,89.7,11,24.9,11.8,NA,20.2,95.7,74.2,91.8,87.6,NA,NA,NA,NA,2.4,80.5,11.1,51,72.1,47,38.1,41.2,23.1,51.2,73.5,63.1,29.5,92.1,0.3,8.7
Russian Federation,2019,Gender of Top Manager,NA,Top manager is male,Average,26.8,19,32.8,13.2,8.5,0,38.1,14.3,0.3,17.5,13.1,-1.7,2.7,-4,29.4,79.5,12,0.5,0.4,99.6,0,5.8,24.7,14,10.8,NA,NA,NA,7.7,8.8,81,12,22.8,14.2,NA,44,96.1,73.9,87.3,84.8,NA,NA,NA,NA,5,79,19.5,52.8,69.7,41.4,51.9,46.5,21,59.1,79.5,59.3,27.9,91.2,0.3,10
Russian Federation,2019,Location,NA,Central Federal District,Average,36.6,26.1,39.1,13,10.9,NA,54.1,0.1,NA,25.5,19.2,-2.3,6,-8.1,28.3,78.8,11.6,2.7,0.6,97.6,0,4.9,23.9,30,NA,NA,NA,NA,7.4,8.7,81.8,11.5,19.1,14.6,NA,63.5,94.1,70.7,92.5,94.8,NA,NA,NA,NA,7.1,69.8,28.6,54,72,42.9,48.4,46.5,20,62.1,84.4,58.2,35.8,87.4,0.2,14
Russian Federation,2019,Location,NA,Far Eastern Federal District,Average,7,7,5.3,1.2,52.5,0,NA,0,NA,1.6,3.4,3.2,3,0.7,14.2,81.5,12.3,1.8,0,99,0.4,1.1,NA,NA,NA,NA,NA,NA,58.7,41.4,54.2,23.9,90.9,10.9,NA,15.1,99.4,65.9,88.1,71,NA,NA,NA,NA,6,68.1,8.1,44.7,59.1,23.5,66.9,56.5,60,33.9,44.2,77,14.7,99.8,0,7.9
Russian Federation,2019,Location,NA,North-West Federal District,Average,13.8,9.7,29.5,16.6,0.1,0,55.2,0,NA,11.1,0.4,-1.2,2.1,-2.2,43.8,76.7,12.1,0.1,0,99.9,0,5.4,17.5,NA,12.4,NA,NA,NA,0,0,82.3,18,20.7,15.8,NA,28,99.5,67.4,75.6,86.7,NA,NA,NA,NA,0,87,0.1,43.4,60.8,37.8,47.6,49.1,7,46.4,90.6,51.5,28.9,94,0.5,7.1
Russian Federation,2019,Location,NA,Siberian Federal District,Average,14.2,14.2,49.4,67.4,0,0,0.1,0.4,NA,7,14.9,-0.1,1.1,-0.3,15.2,89.4,11,0,0,100,0,9.4,NA,12,NA,NA,NA,NA,3.9,0.1,90.6,3.9,NA,10.7,NA,21.3,98.9,77.5,93,88.2,NA,NA,NA,NA,0.2,93.6,1.9,46.7,59.7,32.8,36.6,35.3,17,44.8,55.3,83.2,18.5,84.6,0.7,4.9
Russian Federation,2019,Location,NA,Southern Federal District And North-Caucasian Federal District,Average,0.4,0.3,0.3,0.1,0,NA,0.4,0.8,2.6,1.2,1.3,2,0.8,1.1,16.1,84,12.1,0.1,0,99.9,0,6.8,22.5,NA,NA,NA,NA,NA,0.5,2,87.3,7.8,30.7,14.2,NA,22.3,98.2,81.5,84.5,96.2,NA,NA,NA,NA,0,83.3,0.7,58.5,72.8,55,42.9,43.7,36.8,50.4,63.3,74.6,16.1,99.2,0,2.1
Russian Federation,2019,Location,NA,Ural Federal District,Average,24,24,0.3,0.1,77.3,NA,NA,NA,NA,14.7,21.7,-0.8,4.9,-4.6,45.1,81,9.5,0,0,100,0,3.9,8.8,NA,NA,NA,NA,NA,0.9,0,85.9,15.3,79.1,11.3,NA,17.8,89.6,77.6,83.1,62.2,NA,NA,NA,NA,0.8,87.3,24.6,72.6,76.5,51.2,79.6,57.6,57,67.6,95.7,87.3,34.8,98.9,0.1,19.2
Russian Federation,2019,Location,NA,Volga Federal District,Average,29.9,20.9,30.6,29,0.2,0,46.1,31.1,0.1,21.3,19,-3.8,0.6,-3.4,8,71.1,11,0.1,0.2,99.9,0,5.5,NA,NA,1.3,NA,NA,NA,4,11.9,81.1,12,10.1,13,NA,21.9,96.5,79.6,88.6,64.3,NA,NA,NA,NA,8.2,81.6,25.6,44.8,73.1,45.3,49.8,35.5,23.1,48.4,49.8,49.3,25.2,94.9,0.1,6.4
Russian Federation,2019,Ownership Type,NA,10% or more foreign ownership,Average,30.3,30,30.5,11.4,53,NA,NA,NA,NA,21.9,15.6,2.7,10.5,-7.6,13.6,77.6,14.7,100,0.1,22.5,0,2.2,NA,NA,NA,NA,NA,NA,10.5,11,70.5,22.2,17.5,19.5,NA,158.9,94.6,76.2,92.4,95.7,NA,NA,NA,NA,0.2,55.6,16.5,58.1,71.4,61,72.3,42.5,10.8,30.9,91.4,94,11.5,99.6,0.1,8.2
Russian Federation,2019,Ownership Type,NA,Domestic,Average,26.8,19.7,31.8,12.5,10.5,0,35.4,12.5,2.2,16.5,13.7,-1.5,3.3,-4.5,25,79.3,11.4,0,0.3,99.9,0,5.6,22.6,12,11.2,NA,NA,NA,6.2,7,83.1,11.6,24.7,13.5,NA,36.7,96,73.9,88,85.3,NA,NA,NA,NA,4.4,79.6,17.4,52.1,70.1,41.7,47.6,45.4,22,58.7,77.4,58.3,28.4,91.3,0.3,9.7
Russian Federation,2019,Sector,Manufacturing,All,Average,18.6,17.5,20.4,20.4,10,0,17,3.4,30.7,20.8,19.8,-2.9,2.9,-5.2,26.6,79.3,11.7,3,1.5,97.2,0,7.3,13.9,15,6.5,NA,NA,NA,5.9,4.6,86.1,8,23.1,14,NA,120,94.5,74,88.1,78.4,NA,NA,NA,NA,7.6,76.5,24.4,52.8,70,55.8,54.3,47.2,31.5,52.7,74.2,61.4,14.1,96.7,0.1,4.9
Russian Federation,2019,Sector,Manufacturing,Fabricated Metal Products,Average,9.9,9.5,18.7,15.1,0.4,NA,NA,0.7,NA,23,7.3,3.5,5.4,-2.3,23,81.5,10.5,0.5,0,99.7,0,5.5,NA,NA,NA,NA,NA,NA,4.3,1.5,88.2,6.6,25.2,14.5,NA,27,97,72.6,89.5,82.5,NA,NA,NA,NA,3.9,87.3,5.3,49,69.3,51.8,52.5,39.7,24.1,64.7,77.3,70.1,16.6,96.2,0.1,9.7
Russian Federation,2019,Sector,Manufacturing,Food,Average,22.4,21.5,10.5,26.8,37.5,0,26.1,0,NA,25.3,19,-4.1,-1.5,-1.8,23.8,82.6,10.7,6.7,0.1,97.8,0,8.3,26.2,NA,NA,NA,NA,NA,8.2,13.1,83.8,9,8.4,12.7,NA,67.3,94.3,73.1,80.7,80.8,NA,NA,NA,NA,2.8,74.7,31.7,59.3,78.5,54.8,54.4,50,43.7,43.5,74.6,71.9,29,93.3,0.3,6.6
Russian Federation,2019,Sector,Manufacturing,Garments,Average,8.9,8.6,9.4,16.6,NA,NA,NA,25.2,NA,14,27.6,3.9,1.1,2,26.5,80.3,12.4,0.1,0.3,99.9,0,9.4,NA,NA,NA,NA,NA,NA,10.5,13.7,79.1,9.3,31.2,16,NA,17.1,97.1,77.2,95.5,78.7,NA,NA,NA,NA,8.2,73.5,21.6,53.8,48.3,55.2,59.2,63.9,39.3,57.4,62.6,28.9,46.3,87.6,0.5,20.4
Russian Federation,2019,Sector,Manufacturing,Machinery & Equipment,Average,3.3,2.5,2.8,6.8,0.8,NA,NA,8.4,NA,11.3,26.8,-5.7,1.9,-9,37.5,80.9,13.6,1.1,0.2,99,0,7.6,NA,NA,NA,NA,NA,NA,4.8,0.2,87.8,10.6,54.5,16.3,NA,63.5,98,75.5,89.5,86.3,NA,NA,NA,NA,3.5,84.9,10.9,57.5,73.8,60,58.1,53.8,25.8,50.9,77.9,72.9,12.2,95,0.1,4.2
Russian Federation,2019,Sector,Manufacturing,Non-Metallic Mineral Products,Average,7.4,7.2,9.2,41,16.6,NA,NA,0,NA,19.6,9.8,-2.7,3.1,-5.8,36.6,83.7,11,3.6,0.3,96.3,0,7.1,20,NA,NA,NA,NA,NA,7.9,3,84.7,2.2,17.1,12.8,NA,33.9,93,77.3,88.8,77.1,NA,NA,NA,NA,2.1,73.8,16.1,64.8,82.1,58.7,64.1,55.2,35,62,70.6,90.6,13.7,92,0.3,6.3
Russian Federation,2019,Sector,Manufacturing,Other Manufacturing,Average,22.4,21.1,25,19,12.1,NA,NA,25.7,NA,21.2,22.5,-4.2,3.5,-6.6,25.6,77.4,12,3.2,2.5,96.4,0,7.3,14.3,NA,NA,NA,NA,NA,5.5,3.5,86.5,8.4,21,13.8,NA,174.9,93.6,73.6,88.5,76.3,NA,NA,NA,NA,10.4,74.3,29.7,48.5,64.4,56.2,53,46,30,51.9,73.8,51.4,8.5,98.7,0.1,2.3
Russian Federation,2019,Sector,Services,All,Average,28.2,20.2,34.1,11,10.7,0,35.5,13,0,15.7,12.6,-1.2,3.4,-4.4,24.6,NA,11.3,0.8,0,99.4,0,5.2,23.4,12,13.6,NA,NA,NA,6.4,7.6,82.2,12.5,NA,13.5,NA,22.8,96.3,NA,NA,86.9,NA,NA,NA,NA,3.7,79.9,16.1,52.3,70.2,39.5,47.6,44.9,19.1,58.5,79.1,59.9,30.9,90.4,0.3,10.6
Russian Federation,2019,Sector,Services,Other Services,Average,30.3,21.3,36.1,10.6,9.3,0,36,11.4,0,17.5,11.9,-1.4,2.8,-4,26.5,NA,11.3,0.9,0,99.3,0,5.5,23.3,12,NA,NA,NA,NA,5.8,8.5,81.1,13.4,NA,13.8,NA,23.5,96.3,NA,NA,86.4,NA,NA,NA,NA,3.8,80.7,16.6,52.6,70.3,40.3,48.5,45.7,18.6,58.5,81.1,61.1,33.1,90.3,0.3,9.6
Russian Federation,2019,Sector,Services,Retail,Average,14.4,12.9,20.7,20.5,16.2,NA,NA,73.2,NA,5.6,16.5,0.2,6.9,-6.8,13.3,NA,11.5,0.4,0,99.7,0.1,3.8,23.5,NA,NA,NA,NA,NA,9.6,0.9,91,7.1,NA,12,NA,18.3,95.8,NA,NA,90.2,NA,NA,NA,NA,3.4,75.5,12.8,42.5,68.5,26.8,33.5,31.5,27.2,57.5,45.1,38.4,18.1,90.9,0.4,15.7
Russian Federation,2019,Size,NA,Large (100+),Average,34.6,34.3,33.2,5,0.3,0,54.9,1,0.5,27.7,28.9,1.1,5.4,-3.2,35.8,85.3,16.7,15.9,4.9,85.7,0,6.8,22.8,60,23.6,NA,NA,NA,0.4,2.3,74.3,27.5,23.6,20,NA,487.6,95.2,81.5,88.8,85.6,NA,NA,NA,NA,1.7,75.9,30.5,54.9,76.6,57.6,61.2,44.7,21.7,47.5,85.1,58.5,8.2,94.5,0.2,12.6
Russian Federation,2019,Size,NA,Medium (20-99),Average,40.4,28.3,38.7,17.6,12.1,0,61.1,44.8,1.4,31.6,16.9,-2,6.5,-9,31.8,79.9,12.6,1.9,0.2,98.6,0,5.9,30.6,30,NA,NA,NA,NA,5.8,14.7,74,11.1,33,16.7,NA,35.6,91.9,74.5,86.1,90.4,NA,NA,NA,NA,2.2,74.3,25.7,51.8,68.6,38.8,45.8,45.5,21.4,59.9,76.4,60.6,30.8,86.3,0.2,8.8
Russian Federation,2019,Size,NA,Small (5-19),Average,18.2,13,26.6,11.1,11.1,0,14.9,2.9,2.8,11.9,11.7,-1.5,2.2,-3.2,22.2,78.4,10.7,0,0,100,0,5.4,18.8,7,11.6,NA,NA,NA,6.8,5.1,86.3,11,10.3,12.3,NA,10,97.2,73.2,88.7,83.9,NA,NA,NA,NA,5.2,81.1,14.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.8,92.7,0.3,9.7
Russian Federation,2019,NA,NA,NA,Average,26.8,19.8,31.7,12.5,10.7,0,35.3,12.5,2.2,16.6,13.8,-1.5,3.4,-4.5,24.9,79.3,11.4,1.2,0.3,99,0,5.6,22.5,12,11.2,NA,NA,NA,6.3,7.1,82.9,11.8,23.1,13.6,NA,38.2,96,74,88.1,85.5,NA,NA,NA,NA,4.4,79.4,17.4,52.4,70.2,42.7,48.9,45.3,21.4,57.4,78.1,60.1,28.2,91.4,0.3,9.7
Rwanda,2006,Exporter Type,NA,Direct exports are 10% or more of sales,Average,22.2,20.2,4.8,52.3,NA,NA,NA,NA,NA,52.3,8.7,NA,NA,NA,42.6,64.1,12,32.6,14.7,66,18.3,8,NA,NA,NA,NA,NA,NA,3.6,20.3,72.8,39.6,NA,11.3,NA,129.5,63.2,59.1,55.8,NA,NA,NA,NA,NA,5.1,83.8,20.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.9
Rwanda,2006,Exporter Type,NA,Non-exporter,Average,5.6,4.8,4.9,14.3,4.9,8,0,0,NA,17.4,3.9,0.2,11.6,-11.2,61.6,67.7,9.9,16.8,1.9,83.5,63.3,5.7,6.8,30,8.9,NA,NA,NA,9,18.6,76,24.6,41.6,10.2,NA,76.1,93.5,66,51.7,NA,NA,NA,NA,NA,2.5,92.9,10.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.5,NA,NA,12
Rwanda,2006,Location,NA,Butare,Average,19.5,19.5,0,22.7,NA,NA,NA,NA,NA,22.7,0,NA,NA,NA,63.4,NA,8.4,18.5,6.5,89.8,50,5.5,NA,NA,NA,NA,NA,NA,0,23.6,75.4,NA,NA,9.5,NA,31.6,81.7,NA,NA,NA,NA,NA,NA,NA,0,93.7,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.5
Rwanda,2006,Location,NA,Kigali,Average,5.9,5,5.2,16.7,4.6,7,4.5,0,NA,19.8,4.7,0.3,11.5,-10.7,59.7,68.8,10.3,18.1,2.7,81.4,60.3,6,6.5,30,8.2,NA,NA,NA,9.3,18.4,75.7,27.8,46.3,10.3,NA,84.8,91.7,62.9,52.4,NA,NA,NA,NA,NA,3,92,10.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.6,NA,NA,13
Rwanda,2006,Ownership Type,NA,10% or more foreign ownership,Average,4.7,3.8,5.2,24,0,0,7.2,NA,NA,31.7,7,-0.9,NA,NA,57,64.1,15.5,100,6.9,14,27.6,6,3.5,NA,3.7,NA,NA,NA,4.6,12.7,85.2,43.3,NA,14.5,NA,305.9,89.5,74.8,40.8,NA,NA,NA,NA,NA,4.6,89.6,25.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.4,NA,NA,16.4
Rwanda,2006,Ownership Type,NA,Domestic,Average,7.5,6.7,4.8,15.5,5.7,12.8,26.7,0,NA,17.3,3.8,0.6,12,-10.9,60.7,67.8,8.9,0,2.1,97.1,66.6,5.9,7.3,15,11.5,NA,NA,NA,9.5,20.1,73.6,23.1,42.3,9.3,NA,30.7,91.2,62.3,55.8,NA,NA,NA,NA,NA,2.3,92.6,8.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.6,NA,NA,12.7
Rwanda,2006,Sector,Manufacturing,All,Average,5.2,5.2,0,18.5,0,0,NA,NA,NA,17.3,8.8,2.2,10.2,-8.1,46.6,67,12.7,22.2,5.9,79.6,34.6,4.5,2.4,NA,4.2,NA,NA,NA,5.1,21.6,73.7,27.6,41.4,12.6,NA,209.2,78.2,64.6,52.6,NA,NA,NA,NA,NA,2.6,89.5,16.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.7
Rwanda,2006,Sector,Manufacturing,Food,Average,11.5,11.5,0,24.8,NA,NA,NA,NA,NA,19.8,4.4,NA,NA,NA,43.4,68.9,10.9,26,8.7,76.5,30.6,4,NA,NA,NA,NA,NA,NA,0,17.2,74,30.6,36.3,13.1,NA,329.2,65.8,57.1,54.6,NA,NA,NA,NA,NA,0,90.2,21.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26
Rwanda,2006,Sector,Manufacturing,Garments,Average,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rwanda,2006,Sector,Manufacturing,Other Manufacturing,Average,0,0,0,12,0,0,NA,NA,NA,9,15,NA,NA,NA,51.1,63.6,15.6,21,3.5,80.3,33,5.3,1,NA,6.2,NA,NA,NA,9,24,75.9,27.9,48.3,12.4,NA,99,90.1,70.4,45.9,NA,NA,NA,NA,NA,6,89.4,12.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21
Rwanda,2006,Sector,Services,All,Average,7.8,6.5,6.7,16.4,5.7,11.1,5.2,0,NA,21.2,2.2,-0.7,12.3,-12.2,66.7,NA,8.8,16.1,1.6,83.2,71.9,6.6,7.6,30,10.1,NA,NA,NA,10.3,17.4,76.7,NA,NA,9.1,NA,16.7,96.9,NA,NA,NA,NA,NA,NA,NA,2.8,93.4,9.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.1,NA,NA,7.8
Rwanda,2006,Sector,Services,Other Services,Average,3.1,2.6,2.2,12,4.8,0,0,0,NA,18,1,-0.8,12.4,-12.2,70.3,NA,8.9,16.8,2,83.4,73.3,6.4,5.9,30,5.4,NA,NA,NA,8.9,18.8,76.2,NA,NA,9,NA,18.3,96.6,NA,NA,NA,NA,NA,NA,NA,3,93.8,8.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.7,NA,NA,6.9
Rwanda,2006,Sector,Services,Retail,Average,24.5,20.6,24.5,33.5,8.7,20,NA,NA,NA,33.5,6.7,-0.2,11.8,-12.2,52.5,NA,8.6,13.4,0,82.5,66.5,7.6,12.3,NA,13.9,NA,NA,NA,15.6,11.8,78.8,NA,NA,9.6,NA,10.5,98.2,NA,NA,NA,NA,NA,NA,NA,2.2,91.6,11.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.6,NA,NA,11.2
Rwanda,2006,Size,NA,Large (100+),Average,0,0,0,19.9,NA,NA,NA,NA,NA,19.9,0,NA,NA,NA,52.2,72.1,17.5,42.3,26.4,47.7,24.5,6.3,NA,NA,NA,NA,NA,NA,0,16.9,70.1,58.6,NA,14.7,NA,671.5,62.5,65,50.1,NA,NA,NA,NA,NA,0,88.1,7.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.9
